method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
m0_gaussian,S0,20260730,0.7904141588556971,0.903,1.580828317711394,2.0919111666507275,1.0,0.972,0.919,0.855,0.769
split_cp,S0,20260730,0.8601552957589652,0.9254,1.7203105915179309,2.11266760818209,1.0,0.98,0.938,0.892,0.817
m0_gaussian,S0,20260731,0.8111897974831392,0.9026,1.622379594966279,2.1848965455991993,0.999,0.975,0.933,0.847,0.759
split_cp,S0,20260731,0.7969647213252603,0.899,1.5939294426505204,2.184660010822375,0.999,0.974,0.93,0.842,0.75
m0_gaussian,S0,20260732,0.8113182707830497,0.9036,1.6226365415660993,2.09866700621366,0.997,0.974,0.925,0.852,0.77
split_cp,S0,20260732,0.8264127950187588,0.911,1.6528255900375175,2.1008602252932542,0.998,0.978,0.931,0.862,0.786
m0_gaussian,S0,20260733,0.775716441170945,0.8914,1.5514328823418901,2.087047723531664,0.996,0.965,0.919,0.824,0.753
split_cp,S0,20260733,0.7723884236304047,0.8896,1.5447768472608097,2.0876631964086725,0.996,0.963,0.916,0.821,0.752
m0_gaussian,S0,20260734,0.8016748119196534,0.9114,1.603349623839307,2.078776267770944,0.998,0.975,0.933,0.859,0.792
split_cp,S0,20260734,0.7940513211735525,0.9098,1.5881026423471047,2.077135767954528,0.998,0.974,0.933,0.855,0.789
m0_gaussian,S0,20260735,0.7916837417092732,0.901,1.5833674834185467,2.083909619139725,1.0,0.971,0.927,0.844,0.763
split_cp,S0,20260735,0.8026586473747225,0.905,1.6053172947494452,2.0846487749142435,1.0,0.972,0.929,0.851,0.773
m0_gaussian,S0,20260736,0.8176888453616881,0.9124,1.6353776907233757,2.0502713226901275,0.999,0.98,0.934,0.866,0.783
split_cp,S0,20260736,0.8194458351932862,0.913,1.6388916703865726,2.0507149205680375,0.999,0.98,0.935,0.868,0.783
