method,domain,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage
split_cp,source,S0,20260730,0.8601552957589652,0.9254,1.7203105915179309,2.11266760818209,1.0,0.98,0.938,0.892,0.817
split_cp,target_s1,S1,20260730,0.8601552957589652,0.8406,1.7203105915179309,2.6403967774234687,0.924,0.865,0.822,0.804,0.788
split_cp,source,S0,20260731,0.7969647213252603,0.899,1.5939294426505204,2.184660010822375,0.999,0.974,0.93,0.842,0.75
split_cp,target_s1,S1,20260731,0.7969647213252603,0.8208,1.5939294426505204,2.664930570776335,0.919,0.85,0.796,0.779,0.76
split_cp,source,S0,20260732,0.8264127950187588,0.911,1.6528255900375175,2.1008602252932542,0.998,0.978,0.931,0.862,0.786
split_cp,target_s1,S1,20260732,0.8264127950187588,0.8276,1.6528255900375175,2.6980362308583485,0.926,0.879,0.803,0.785,0.745
split_cp,source,S0,20260733,0.7723884236304047,0.8896,1.5447768472608097,2.0876631964086725,0.996,0.963,0.916,0.821,0.752
split_cp,target_s1,S1,20260733,0.7723884236304047,0.7996,1.5447768472608097,2.7903803858055687,0.905,0.822,0.764,0.767,0.74
split_cp,source,S0,20260734,0.7940513211735525,0.9098,1.5881026423471047,2.077135767954528,0.998,0.974,0.933,0.855,0.789
split_cp,target_s1,S1,20260734,0.7940513211735525,0.8066,1.5881026423471047,2.702774865033145,0.901,0.821,0.798,0.772,0.741
split_cp,source,S0,20260735,0.8026586473747225,0.905,1.6053172947494452,2.0846487749142435,1.0,0.972,0.929,0.851,0.773
split_cp,target_s1,S1,20260735,0.8026586473747225,0.8194,1.6053172947494452,2.751467317702405,0.92,0.846,0.794,0.77,0.767
split_cp,source,S0,20260736,0.8194458351932862,0.913,1.6388916703865726,2.0507149205680375,0.999,0.98,0.935,0.868,0.783
split_cp,target_s1,S1,20260736,0.8194458351932862,0.8216,1.6388916703865726,2.7476045216768403,0.938,0.843,0.792,0.775,0.76
split_cp,source,S0,20260737,0.8155340432645445,0.91,1.6310680865290892,2.095101743444027,0.999,0.97,0.93,0.856,0.795
split_cp,target_s1,S1,20260737,0.8155340432645445,0.8288,1.6310680865290892,2.6162478344939117,0.926,0.847,0.8,0.795,0.776
split_cp,source,S0,20260738,0.7561971733963099,0.895,1.5123943467926202,2.0971046730198104,0.995,0.976,0.922,0.815,0.767
split_cp,target_s1,S1,20260738,0.7561971733963099,0.7932,1.5123943467926202,2.791890449235352,0.906,0.808,0.779,0.74,0.733
split_cp,source,S0,20260739,0.8588849181082272,0.9254,1.7177698362164548,2.0893786695096743,0.998,0.984,0.955,0.877,0.813
split_cp,target_s1,S1,20260739,0.8588849181082272,0.8422,1.7177698362164548,2.664920811693672,0.949,0.865,0.822,0.816,0.759
split_cp,source,S0,20260740,0.7862807155438276,0.898,1.572561431087655,2.0934006653520463,0.996,0.966,0.915,0.842,0.771
split_cp,target_s1,S1,20260740,0.7862807155438276,0.7962,1.572561431087655,2.8571421574615874,0.906,0.833,0.783,0.755,0.704
split_cp,source,S0,20260741,0.7939595664329584,0.902,1.5879191328659166,2.121653084664906,1.0,0.973,0.927,0.846,0.764
split_cp,target_s1,S1,20260741,0.7939595664329584,0.7992,1.5879191328659166,2.8993257210156766,0.918,0.843,0.782,0.736,0.717
split_cp,source,S0,20260742,0.7564667528790876,0.8948,1.5129335057581752,2.0867392733027943,0.995,0.973,0.912,0.832,0.762
split_cp,target_s1,S1,20260742,0.7564667528790876,0.795,1.5129335057581752,2.7402637786091377,0.897,0.823,0.76,0.746,0.749
split_cp,source,S0,20260743,0.7584329072994959,0.8888,1.5168658145989922,2.103109162991343,1.0,0.959,0.911,0.827,0.747
split_cp,target_s1,S1,20260743,0.7584329072994959,0.799,1.5168658145989922,2.7957192357569607,0.91,0.814,0.759,0.774,0.738
split_cp,source,S0,20260744,0.7696067839378956,0.8946,1.539213567875791,2.0950940648923666,0.996,0.97,0.919,0.826,0.762
