method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage,ess,max_weight,infinite_interval_rate
split_cp,S1,20260730,0.8601552957589652,0.85,1.7203105915179309,2.598316916908948,0.935,0.866,0.841,0.823,0.785,nan,nan,nan
oracle_wcp,S1,20260730,1.0387859558819903,0.9166,2.0775719117639806,2.5425871936822637,0.973,0.934,0.905,0.901,0.87,212.83214922154704,10.924951454965369,0.0
split_cp,S1,20260731,0.7969647213252603,0.811,1.5939294426505204,2.827625972431046,0.924,0.83,0.805,0.773,0.723,nan,nan,nan
oracle_wcp,S1,20260731,0.981815029892184,0.8902,1.963630059784368,2.6371494217821665,0.965,0.911,0.887,0.859,0.829,208.1045332493938,11.019897728146642,0.0
split_cp,S1,20260732,0.8264127950187588,0.8216,1.6528255900375175,2.702367655889639,0.934,0.835,0.795,0.784,0.76,nan,nan,nan
oracle_wcp,S1,20260732,1.1622923734650448,0.9386,2.3245847469300895,2.6396148138244615,0.986,0.954,0.933,0.91,0.91,210.41259915178952,10.930532317831485,0.0
split_cp,S1,20260733,0.7723884236304047,0.7888,1.5447768472608097,2.7973556205702232,0.917,0.803,0.756,0.74,0.728,nan,nan,nan
oracle_wcp,S1,20260733,1.0783326018955048,0.9214,2.1566652037910097,2.5516974387334415,0.979,0.934,0.918,0.884,0.892,201.13416173890838,10.87859799732402,0.0
split_cp,S1,20260734,0.7940513211735525,0.8168,1.5881026423471047,2.69204809639906,0.911,0.831,0.806,0.772,0.764,nan,nan,nan
oracle_wcp,S1,20260734,1.054374543643845,0.916,2.10874908728769,2.54187616506303,0.973,0.931,0.918,0.884,0.874,220.81410424734878,10.989118289719523,0.0
split_cp,S1,20260735,0.8026586473747225,0.8164,1.6053172947494452,2.6963458365046544,0.945,0.827,0.809,0.772,0.729,nan,nan,nan
oracle_wcp,S1,20260735,1.043747985970071,0.914,2.087495971940142,2.535717434773179,0.985,0.922,0.909,0.881,0.873,220.6594074464762,10.897539423172153,0.0
split_cp,S1,20260736,0.8194458351932862,0.8242,1.6388916703865726,2.619014383406072,0.932,0.863,0.809,0.771,0.746,nan,nan,nan
oracle_wcp,S1,20260736,0.9482652415109234,0.884,1.8965304830218468,2.4996148934654987,0.967,0.912,0.867,0.85,0.824,215.42234569849825,10.928609558656303,0.0
split_cp,S1,20260737,0.8155340432645445,0.8178,1.6310680865290892,2.7459919538410897,0.92,0.844,0.8,0.771,0.754,nan,nan,nan
oracle_wcp,S1,20260737,0.9298893724756484,0.868,1.8597787449512968,2.6097564808083327,0.957,0.885,0.862,0.826,0.81,212.60725386006115,11.022571858111112,0.0
split_cp,S1,20260738,0.7561971733963099,0.7882,1.5123943467926202,2.7991721888376517,0.896,0.81,0.771,0.735,0.729,nan,nan,nan
oracle_wcp,S1,20260738,1.095638919148189,0.925,2.191277838296378,2.577592028283333,0.975,0.943,0.932,0.9,0.875,191.68911563907307,10.943269486842514,0.0
split_cp,S1,20260739,0.8588849181082272,0.8422,1.7177698362164548,2.638402402828587,0.953,0.862,0.833,0.789,0.774,nan,nan,nan
oracle_wcp,S1,20260739,1.1350951327539214,0.937,2.2701902655078428,2.5969036010455966,0.985,0.949,0.934,0.914,0.903,215.0607423498365,10.910155669885444,0.0
split_cp,S1,20260740,0.7862807155438276,0.8038,1.572561431087655,2.777632113735068,0.909,0.812,0.789,0.764,0.745,nan,nan,nan
oracle_wcp,S1,20260740,1.0044204303037478,0.8998,2.0088408606074957,2.566940187504177,0.972,0.913,0.883,0.864,0.867,203.13649435951893,10.978564952580973,0.0
split_cp,S1,20260741,0.7939595664329584,0.8098,1.5879191328659166,2.770445330144115,0.912,0.825,0.811,0.784,0.717,nan,nan,nan
oracle_wcp,S1,20260741,1.0003273338333292,0.894,2.0006546676666583,2.579653770477781,0.973,0.909,0.9,0.868,0.82,207.5050840258023,11.01337727149781,0.0
split_cp,S1,20260742,0.7564667528790876,0.7978,1.5129335057581752,2.7793120105157234,0.908,0.831,0.786,0.726,0.738,nan,nan,nan
oracle_wcp,S1,20260742,1.0576346255394784,0.9148,2.115269251078957,2.552638762055509,0.978,0.927,0.916,0.878,0.875,195.74651002188247,11.000016687462969,0.0
split_cp,S1,20260743,0.7584329072994959,0.781,1.5168658145989922,2.825127149484132,0.907,0.776,0.753,0.741,0.728,nan,nan,nan
oracle_wcp,S1,20260743,1.0191639612023515,0.9018,2.038327922404703,2.5370284523345683,0.968,0.917,0.894,0.883,0.847,189.6196211503938,10.713392880805477,0.0
split_cp,S1,20260744,0.7696067839378956,0.798,1.539213567875791,2.794731600428907,0.908,0.834,0.784,0.74,0.724,nan,nan,nan
oracle_wcp,S1,20260744,0.9945595177860487,0.8962,1.989119035572097,2.5564988346584534,0.952,0.905,0.902,0.867,0.855,217.71918939631286,10.860191770733831,0.0
split_cp,S1,20260745,0.7821812625226332,0.8076,1.5643625250452664,2.736630733913013,0.927,0.82,0.792,0.76,0.739,nan,nan,nan
oracle_wcp,S1,20260745,1.1071975098802755,0.9314,2.214395019760551,2.5764408145218938,0.981,0.939,0.924,0.901,0.912,202.40997405848532,10.929137736957182,0.0
split_cp,S1,20260746,0.7819704970929482,0.8064,1.5639409941858964,2.7893308108816206,0.915,0.811,0.799,0.75,0.757,nan,nan,nan
oracle_wcp,S1,20260746,0.9857561253679109,0.8922,1.9715122507358218,2.5932334692163375,0.968,0.892,0.872,0.858,0.871,203.00314605887147,10.918113548133958,0.0
split_cp,S1,20260747,0.8400800727584139,0.8398,1.6801601455168276,2.6700541279070515,0.932,0.862,0.831,0.806,0.768,nan,nan,nan
oracle_wcp,S1,20260747,1.2433409919251142,0.9564,2.4866819838502283,2.727038831383717,0.993,0.967,0.963,0.935,0.924,199.89128052340646,11.015134241707537,0.0
split_cp,S1,20260748,0.8588717105235182,0.8372,1.7177434210470361,2.65255258239204,0.932,0.854,0.807,0.798,0.795,nan,nan,nan
oracle_wcp,S1,20260748,1.050970349520933,0.9142,2.101940699041866,2.562591880739654,0.972,0.919,0.887,0.895,0.898,209.6651676733414,10.871421484235034,0.0
split_cp,S1,20260749,0.789480802180851,0.8148,1.5789616043617019,2.7085483972718394,0.933,0.821,0.785,0.792,0.743,nan,nan,nan
oracle_wcp,S1,20260749,0.9396413472079054,0.8778,1.8792826944158108,2.551008844260483,0.957,0.894,0.855,0.865,0.818,213.2004951582915,10.975839522280706,0.0
split_cp,S1,20260750,0.7521331272082782,0.7894,1.5042662544165566,2.835468459213164,0.905,0.822,0.766,0.726,0.728,nan,nan,nan
oracle_wcp,S1,20260750,0.9592806772131529,0.8854,1.9185613544263058,2.596946725891434,0.967,0.917,0.869,0.836,0.838,210.49679740954159,10.976956279856406,0.0
split_cp,S1,20260751,0.7586219953616548,0.8,1.5172439907233095,2.7648095548155673,0.91,0.806,0.8,0.762,0.722,nan,nan,nan
oracle_wcp,S1,20260751,0.9660454961083061,0.892,1.9320909922166123,2.5543030848264423,0.962,0.901,0.887,0.869,0.841,207.97438169641313,11.02175229582492,0.0
split_cp,S1,20260752,0.7933011552262752,0.8022,1.58660231045255,2.8508333546067366,0.917,0.83,0.785,0.775,0.704,nan,nan,nan
oracle_wcp,S1,20260752,1.1056834403896916,0.921,2.211366880779383,2.668009225673091,0.978,0.938,0.924,0.897,0.868,206.5642079287706,10.980529091940141,0.0
split_cp,S1,20260753,0.8028050018126434,0.809,1.605610003625287,2.738943147985424,0.915,0.84,0.788,0.765,0.737,nan,nan,nan
oracle_wcp,S1,20260753,1.0681049075046665,0.9164,2.136209815009333,2.577595037251949,0.978,0.934,0.918,0.884,0.868,211.79307914498295,10.937033836262929,0.0
split_cp,S1,20260754,0.7957024521848848,0.8042,1.5914049043697693,2.7557430949847292,0.92,0.828,0.778,0.757,0.738,nan,nan,nan
oracle_wcp,S1,20260754,0.9112898031831268,0.8634,1.8225796063662536,2.60051004562951,0.95,0.873,0.844,0.831,0.819,189.19954768223616,11.016681379000387,0.0
split_cp,S1,20260755,0.8283051018305333,0.8264,1.656610203661067,2.692014238074139,0.924,0.852,0.804,0.791,0.761,nan,nan,nan
oracle_wcp,S1,20260755,1.1114190487861897,0.9292,2.2228380975723794,2.588415724875687,0.971,0.947,0.919,0.918,0.891,205.8807422254628,10.898398402173793,0.0
split_cp,S1,20260756,0.7096209552750214,0.755,1.4192419105500427,2.903589327712205,0.887,0.753,0.743,0.689,0.703,nan,nan,nan
oracle_wcp,S1,20260756,0.9746882096073032,0.8952,1.9493764192146064,2.5295000507930223,0.965,0.895,0.899,0.856,0.861,190.31796658620718,10.972561709889655,0.0
