method,scenario,seed,q,coverage,mean_length,mean_interval_score,bin_1_coverage,bin_2_coverage,bin_3_coverage,bin_4_coverage,bin_5_coverage,ess,max_weight,weight_q99,infinite_interval_rate,domain_auc
split_cp,S1,20260730,0.8601552957589652,0.85,1.7203105915179309,2.598316916908948,0.935,0.866,0.841,0.823,0.785,nan,nan,nan,nan,nan
oracle_wcp,S1,20260730,1.0387859558819903,0.9166,2.0775719117639806,2.5425871936822637,0.973,0.934,0.905,0.901,0.87,212.83214922154704,10.924951454965369,nan,0.0,nan
estimated_wcp,S1,20260730,1.0363874588590996,0.9168,2.072774917718199,2.5268336731663688,0.966,0.934,0.913,0.886,0.885,215.6271496882677,8.995933608166196,8.61407301720068,0.0,0.7864599999999999
split_cp,S1,20260731,0.7969647213252603,0.811,1.5939294426505204,2.827625972431046,0.924,0.83,0.805,0.773,0.723,nan,nan,nan,nan,nan
oracle_wcp,S1,20260731,0.981815029892184,0.8902,1.963630059784368,2.6371494217821665,0.965,0.911,0.887,0.859,0.829,208.1045332493938,11.019897728146642,nan,0.0,nan
estimated_wcp,S1,20260731,0.9790758143341817,0.8888,1.9581516286683633,2.6272803195822982,0.962,0.903,0.869,0.856,0.854,212.14318965536282,9.250459877288279,8.802403958129988,0.0,0.7979539999999999
split_cp,S1,20260732,0.8264127950187588,0.8216,1.6528255900375175,2.702367655889639,0.934,0.835,0.795,0.784,0.76,nan,nan,nan,nan,nan
oracle_wcp,S1,20260732,1.1622923734650448,0.9386,2.3245847469300895,2.6396148138244615,0.986,0.954,0.933,0.91,0.91,210.41259915178952,10.930532317831485,nan,0.0,nan
estimated_wcp,S1,20260732,1.162729035869348,0.9394,2.325458071738696,2.6364307225888814,0.99,0.948,0.922,0.917,0.92,208.09352167031517,9.181773675301661,8.916361424063572,0.0,0.803136
split_cp,S1,20260733,0.7723884236304047,0.7888,1.5447768472608097,2.7973556205702232,0.917,0.803,0.756,0.74,0.728,nan,nan,nan,nan,nan
oracle_wcp,S1,20260733,1.0783326018955048,0.9214,2.1566652037910097,2.5516974387334415,0.979,0.934,0.918,0.884,0.892,201.13416173890838,10.87859799732402,nan,0.0,nan
estimated_wcp,S1,20260733,1.0871870297993538,0.9216,2.1743740595987076,2.564919672755813,0.977,0.932,0.919,0.894,0.886,192.74287153755463,10.280151374831961,8.981422116263662,0.0,0.816686
split_cp,S1,20260734,0.7940513211735525,0.8168,1.5881026423471047,2.69204809639906,0.911,0.831,0.806,0.772,0.764,nan,nan,nan,nan,nan
oracle_wcp,S1,20260734,1.054374543643845,0.916,2.10874908728769,2.54187616506303,0.973,0.931,0.918,0.884,0.874,220.81410424734878,10.989118289719523,nan,0.0,nan
estimated_wcp,S1,20260734,1.0222791641325992,0.9102,2.0445583282651985,2.4940749932042205,0.961,0.892,0.915,0.888,0.895,238.26031582609497,7.970338055604958,7.8019813122125505,0.0,0.7783340000000001
split_cp,S1,20260735,0.8026586473747225,0.8164,1.6053172947494452,2.6963458365046544,0.945,0.827,0.809,0.772,0.729,nan,nan,nan,nan,nan
oracle_wcp,S1,20260735,1.043747985970071,0.914,2.087495971940142,2.535717434773179,0.985,0.922,0.909,0.881,0.873,220.6594074464762,10.897539423172153,nan,0.0,nan
estimated_wcp,S1,20260735,1.031438574887677,0.911,2.062877149775354,2.552022286025629,0.969,0.926,0.901,0.887,0.872,232.1741090362354,8.156505424057842,7.878185762442267,0.0,0.7803599999999999
split_cp,S1,20260736,0.8194458351932862,0.8242,1.6388916703865726,2.619014383406072,0.932,0.863,0.809,0.771,0.746,nan,nan,nan,nan,nan
oracle_wcp,S1,20260736,0.9482652415109234,0.884,1.8965304830218468,2.4996148934654987,0.967,0.912,0.867,0.85,0.824,215.42234569849825,10.928609558656303,nan,0.0,nan
estimated_wcp,S1,20260736,0.9341710101217382,0.8792,1.8683420202434764,2.5288214187775897,0.97,0.891,0.871,0.84,0.824,239.0855068719887,7.7558385643691885,7.593297875587607,0.0,0.773568
split_cp,S1,20260737,0.8155340432645445,0.8178,1.6310680865290892,2.7459919538410897,0.92,0.844,0.8,0.771,0.754,nan,nan,nan,nan,nan
oracle_wcp,S1,20260737,0.9298893724756484,0.868,1.8597787449512968,2.6097564808083327,0.957,0.885,0.862,0.826,0.81,212.60725386006115,11.022571858111112,nan,0.0,nan
